"Label (Grouping)","King County, Washington"
"Total:","2,269,675"
"    Population of one race:","2,033,922"
"        White alone","1,273,054"
"        Black or African American alone","151,468"
"        American Indian and Alaska Native alone","19,073"
"        Asian alone","452,475"
"        Native Hawaiian and Other Pacific Islander alone","20,022"
"        Some Other Race alone","117,830"
"    Population of two or more races:","235,753"
"        Population of two races:","215,462"
"            White; Black or African American","23,624"
"            White; American Indian and Alaska Native","25,111"
"            White; Asian","60,557"
"            White; Native Hawaiian and Other Pacific Islander","3,684"
"            White; Some Other Race","83,841"
"            Black or African American; American Indian and Alaska Native","2,463"
"            Black or African American; Asian","3,574"
"            Black or African American; Native Hawaiian and Other Pacific Islander","646"
"            Black or African American; Some Other Race","2,935"
"            American Indian and Alaska Native; Asian","980"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","205"
"            American Indian and Alaska Native; Some Other Race","1,703"
"            Asian; Native Hawaiian and Other Pacific Islander","3,887"
"            Asian; Some Other Race","1,921"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","331"
"        Population of three races:","17,973"
"            White; Black or African American; American Indian and Alaska Native","3,400"
"            White; Black or African American; Asian","2,307"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","325"
"            White; Black or African American; Some Other Race","1,516"
"            White; American Indian and Alaska Native; Asian","1,940"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","213"
"            White; American Indian and Alaska Native; Some Other Race","2,823"
"            White; Asian; Native Hawaiian and Other Pacific Islander","2,927"
"            White; Asian; Some Other Race","1,461"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","131"
"            Black or African American; American Indian and Alaska Native; Asian","247"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","31"
"            Black or African American; American Indian and Alaska Native; Some Other Race","149"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","200"
"            Black or African American; Asian; Some Other Race","91"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","12"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","77"
"            American Indian and Alaska Native; Asian; Some Other Race","36"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","85"
"        Population of four races:","2,089"
"            White; Black or African American; American Indian and Alaska Native; Asian","553"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","55"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","619"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","210"
"            White; Black or African American; Asian; Some Other Race","155"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","14"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","206"
"            White; American Indian and Alaska Native; Asian; Some Other Race","156"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","79"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","25"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","6"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"        Population of five races:","222"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","106"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","88"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","7"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","7"
