,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
0,98001,98001,33,Standard,King County,AUBURN,147643.356,525313280.565
1,98002,98002,33,Standard,King County,AUBURN,104440.087,205302754.241
2,98003,98003,33,Standard,King County,FEDERAL WAY,123733.571,316942629.489
3,98004,98004,33,Standard,King County,BELLEVUE,99325.952,250745415.523
4,98005,98005,33,Standard,King County,BELLEVUE,116554.738,211433669.434
5,98006,98006,33,Standard,King County,BELLEVUE,94894.755,344685350.596
6,98007,98007,33,Standard,King County,BELLEVUE,113051.354,115966096.475
7,98008,98008,33,Standard,King County,BELLEVUE,92469.539,221075072.732
8,98010,98010,33,Standard,King County,BLACK DIAMOND,131826.32,519142696.078
9,98011,98011,33,Standard,King County,BOTHELL,73516.789,197687795.728
10,98014,98014,33,Standard,King County,CARNATION,231918.455,1159838487.727
11,98019,98019,33,Standard,King County,DUVALL,313474.001,3188086070.61
12,98021,98021,33,Standard,King County,BOTHELL,104214.629,273404928.902
13,98022,98022,33,Standard,King County,ENUMCLAW,736008.179,11360773691.576
14,98023,98023,33,Standard,King County,FEDERAL WAY,112480.159,514915542.792
15,98024,98024,33,Standard,King County,FALL CITY,364856.944,2193499469.36
16,98027,98027,33,Standard,King County,ISSAQUAH,278132.218,1610081217.524
17,98028,98028,33,Standard,King County,KENMORE,71170.239,199436427.429
18,98029,98029,33,Standard,King County,ISSAQUAH,113202.913,276232268.255
19,98030,98030,33,Standard,King County,KENT,93300.905,200650833.827
20,98031,98031,33,Standard,King County,KENT,114217.448,228130484.776
21,98032,98032,33,Standard,King County,KENT,160965.224,478266653.658
22,98033,98033,33,Standard,King County,KIRKLAND,100570.212,332254508.401
23,98034,98034,33,Standard,King County,KIRKLAND,101657.25,325221325.602
24,98038,98038,33,Standard,King County,MAPLE VALLEY,313215.452,1641555611.372
25,98039,98039,33,Standard,King County,MEDINA,61260.48,155180171.603
26,98040,98040,33,Standard,King County,MERCER ISLAND,86242.187,355630909.013
27,98042,98042,33,Standard,King County,KENT,207816.971,768020169.29
28,98045,98045,33,Standard,King County,NORTH BEND,644167.771,8056672357.586
29,98047,98047,33,Standard,King County,PACIFIC,41796.583,48760252.236
30,98050,98050,33,PO Box,King County,PRESTON,62720.651,39535965.416
31,98051,98051,33,Standard,King County,RAVENSDALE,212924.687,1151477138.319
